id;sentiment;text_tweet;text_clean
1;positive;<USER_MENTION> #BOIKOT_<PROVIDER_NAME> Gunakan Produk Bangsa Sendiri <PROVIDER_NAME>;produk bangsa
2;positive;Saktinya balik lagi, alhamdulillah :v <PROVIDER_NAME>;sakti alhamdulillah
3;negative;Selamat pagi <PROVIDER_NAME>  bisa bantu kenapa di dalam kamar sinyal 4G hilang yang 1 lagi panggilan darurat saja  <URL>;selamat pagi bantu kamar sinyal hilang panggil darurat
4;negative;Dear <PROVIDER_NAME> akhir2 ini jaringan data lemot banget padahal H+ !!!!;dear jaring data lot banget
5;negative;Selamat malam PENDUSTA <PROVIDER_NAME> ;selamat malam dusta
6;negative;Untuk penembakan paket dari <PRODUCT_NAME> masih gangguan ya <PROVIDER_NAME>;tembak paket ganggu
7;positive;<PROVIDER_NAME>  aku pakai <PROVIDER_NAME>, paket <PRODUCT_NAME> nya udah off tapi gantinya ada paket <PRODUCT_NAME> yg bisa gratisan youtube, senang banget <PROVIDER_NAME>;pakai paket udah ganti paket gratis youtube senang banget
8;negative;RT <USER_MENTION>: <PROVIDER_NAME> tak ada lagi dalam kamus perhapean saya. #Boikot<PROVIDER_NAME> <URL>;kamus perhapean
9;negative;keluhan gak ditanggapi. bikin emosi aja. pulsaku dicuri terus. soak deh. masa setiap hari pulsa berkurang 1500-2100 bisa 2-3*/hari;keluh tanggap bikin emosi pulsa curi soak pulsa kurang
10;negative;#Bilboard iklan <PROVIDER_NAME> kok ada pesan tersembunyi? #Boikot<PROVIDER_NAME> #Ramadhan <URL>;iklan pesan sembunyi
11;negative;<PROVIDER_NAME> mampus!!!!! bulan puasa, subuh2 mau sahur cek pulsa tersedot terus. dan sekarang sisa 30 ribu <PROVIDER_NAME> Tolong dibaca!!!;mampus puasa subuh sahur pulsa sedot sisa ribu tolong baca
12;negative;<USER_MENTION> Pernah coba pakai <PROVIDER_NAME> tapi parah koneksinya ;coba pakai parah koneksi
13;negative;Setuju, <USER_MENTION> silahkan boikot saja pelanggan <PROVIDER_NAME> pendukung #HRS <URL>;tuju silah boikot langgan dukung
14;negative;Dibela belain daftarin kartu 4G tunggu sejam siang2 sambil puasa, sampai rumah sinyal 4Gnya gak ada, adanya di kota!, <PROVIDER_NAME>;bela bain daftarin kartu tunggu jam siang puasa rumah sinyal gnya kota
15;negative;<PROVIDER_NAME> datanya kok sering hilang <PROVIDER_NAME>;data hilang
16;negative;#internetlelet  <PROVIDER_NAME> ga sesuai iklan ;sesuai iklan
17;positive;<PROVIDER_NAME> <PROVIDER_NAME> kangen nih dapat kiriman pos marchandes nya <PROVIDER_NAME> langsung dari pak pos nya ;kangen kirim marchandes langsung
18;negative;yang katanya 150MBPS kecepatanya cuma 3kbps, kuota full. Ga bisa buka google? Udah bikin nguras uang dan baterai… <URL>;mbps kecepatanya kbps kuota full buka google udah bikin nguras uang baterai
19;negative;kuota #internet <PROVIDER_NAME> masih banyak tapi koneksi internetnya LAMBAT BANGET! #<PRODUCT_NAME> <PROVIDER_NAME> #4G #lte… <URL>;kuota koneksi internetnya lambat banget
20;negative;Ampun... Sinyal 4G <PROVIDER_NAME> lemot seperti siput. Acara live streaming jadi terganggu. Mundur terus <PROVIDER_NAME>;ampun sinyal lot siput acara live streaming ganggu mundur
21;negative;Jaringan <PROVIDER_NAME> di Nabire bagus? Itu hanya berita HOAX #HOAX <PROVIDER_NAME>;jaring nabire bagus berita hoax
22;negative;Makin jelek jaringan di takalar <PROVIDER_NAME>;jelek jaring takalar
23;positive;Jadi stabil disini. <PROVIDER_NAME> <URL>;stabil
24;positive;#CUG <PROVIDER_NAME> #Community Sangat Cocok Buat Komunikasi Antar :. - Keluarga. - Rekan Bisnis / Kerja. - Sekolah / Kampus. - Hubungan Jarak.;cocok komunikasi keluarga rekan bisnis kerja sekolah kampus hubung jarak
25;negative;<PROVIDER_NAME> <PROVIDER_NAME> ini kualitas provider <PROVIDER_NAME> gangguan trouble mahal berhari2 #useless4g <URL>;kualitas provider ganggu trouble mahal hari
26;negative;<PROVIDER_NAME> <PRODUCT_NAME> sinyalnya tai...;sinyal
27;negative;Jaringan internet <PROVIDER_NAME> di sumba timur parah....;jaring internet sumba timur parah
28;negative;Dengan ajaib kuota hilang, usage diberikan bahkan bukti penggunaan tidak melebihi batas. <URL>;ajaib kuota hilang usage bukti guna lebih bata
29;negative;"Bertahun tahun pakai <PROVIDER_NAME>. Masa aktif sampai 2018 karena seringnya ""bayar"" untuk dapat pelayanan yang memuaskan";tahun pakai aktif bayar layan muas
30;negative;cepat banget data <PROVIDER_NAME> habis <URL>;cepat banget data habis
31;negative;<USER_MENTION>: Apa gak kurang tolol namanya. <PROVIDER_NAME> provider gak ada urusan sama semua Chat App! ;tolol nama provider urus chat
32;negative;mungkin <PROVIDER_NAME> benar, berarti tinggal #whatsappNotSave <URL>;tinggal
33;positive;Hore,,, Akhirnya ada sinyal 4G <PROVIDER_NAME> di Sambu;hore sinyal sambu
34;positive;Alhamdulilah dikunjungi para vendor mitra <PROVIDER_NAME> ke #klinikKUMSda… <URL>;alhamdulilah kunjung vendor mitra
35;negative;Terlambat ikut <PRODUCT_NAME>... Jelaslah jaringan <PROVIDER_NAME> lemot...;lambat jaring lot
36;negative;<PROVIDER_NAME> tega, Menyampaikan pesan kok suka telat,, bikin #BAPER;tega pesan suka telat bikin
37;negative;Jaringan 4G kecepatan 2G <PROVIDER_NAME>;jaring cepat
38;negative;Paket extra combo kok lemot ya <PROVIDER_NAME>;paket extra combo lot
39;negative;Kenapa! Masa buka Facebook aja gak bisa <PROVIDER_NAME>;buka facebook
40;negative;Rugi isi kuota <PROVIDER_NAME> jaringannya busuk banget, dirugikan ..;rugi kuota jaring busuk banget rugi
41;negative;solidaritas perlu.. tapi perasaan lebih penting lagi dari solidaritas.  ngomong dong <PROVIDER_NAME>;solidaritas asa solidaritas ngomong
42;positive;<PROVIDER_NAME> 1berbagi tanpa kuota 2 berbagai kapan saja <PROVIDER_NAME> bagi berkah <USER_MENTION>;bagi kuota berkah
43;positive;<PROVIDER_NAME> bagi berkah 1video ngabuburit dengan anak, video sahur bersama keluarga, video pakai baju koko baru, <USER_MENTION>;berkah video ngabuburit anak video sahur keluarga video pakai baju koko
44;negative;Koneksi <PROVIDER_NAME> di daerah #sawojajar kota #malang seminggu ini lemot parah ? lagi gangguan kah? <PROVIDER_NAME>Care <PROVIDER_NAME>;koneksi daerah kota minggu lot parah ganggu care
45;positive;Saya pakai <PROVIDER_NAME>, meski <PROVIDER_NAME> lebih greget dalam hal network and speed, setidaknya <PROVIDER_NAME> lebih irit buat anak kere seperti saya.;pakai greget network speed irit anak kere
46;positive;#Boikot <PROVIDER_NAME> harusnya #boikot<PROVIDER_NAME> kartu mahal!. lebih bagus juga <PROVIDER_NAME>;kartu mahal bagus
47;positive;<PROVIDER_NAME> <PROVIDER_NAME> Berbagi berkah;bagi berkah
48;negative;Baru isi kuota ... tapi baru 2 menit langsung habis kacau. <PROVIDER_NAME> <URL>;kuota menit langsung habis kacau
49;negative;Sinyalmu jelek banget sih akhir akhir ini <PROVIDER_NAME>;sinyal jelek banget
50;negative;#Boikot<PROVIDER_NAME> Pergerakan masif PKI dan antek2nya melalui iklan <PROVIDER_NAME>. Mari hancurkan PKI melalui #Boikot<PROVIDER_NAME>;gera masif antek iklan mari hancur
51;positive;Alhamdulillah masih #setia dengan <PROVIDER_NAME>.. jangan menari di tabuhan gendang orang lain.. selamat isya dan tarawih... ;alhamdulillah tari tabuhan gendang orang selamat isya tarawih
52;negative;Aku kira diganti pulsaku. udah komplain sana sini, kok cuma php, <PROVIDER_NAME>;ganti pulsa udah komplain
53;negative;Sinyalmu kenapa <PROVIDER_NAME>;sinyal
54;negative;<PROVIDER_NAME> musuh Ulama #Boikot<PROVIDER_NAME> <URL>;musuh ulama
55;negative;RT <USER_MENTION>: sudah lama gak pakai <PROVIDER_NAME>;pakai
56;negative;Saya gak benci tapi kelakuan <USER_MENTION> yang bikin #Boikot<PROVIDER_NAME>  Pendukung #PKI coba kamu lihat iklan <PROVIDER_NAME> ada gambar palu arit;benci laku bikin dukung coba lihat iklan gambar palu arit
57;negative;RT <USER_MENTION>: <USER_MENTION> HT Nya #PuasPake<PROVIDER_NAME> Noh. aku pakek <PROVIDER_NAME> Gimana thu..…;pakek gimana
58;negative;<PROVIDER_NAME> bisa gak sih kuota 4G digabung saja sama 3G, sayang gak terpakai mubazir... Mubazir itu temennya setan lho!! <PROVIDER_NAME> ;kuota gabung sayang pakai mubazir mubazir temennya setan
59;positive;Rejeki pejet2.., semoga ke depan dapat samsung J5..#<PRODUCT_NAME> <PROVIDER_NAME> Medan, Indonesia <URL>;rejeki jet moga samsung medan indonesia
60;positive;Asik juga kencang begini ? <PROVIDER_NAME> <URL>;asik kencang
61;negative;Buat apa beli paket 4G jika jaringan internetnya masih Edge <PROVIDER_NAME> <PROVIDER_NAME>;beli paket jaring internetnya edge
62;negative;Bagaimana ini <PROVIDER_NAME> 4G tapi lemot;lot
63;negative;Nelepon ke sesama <PROVIDER_NAME> pulsa 20.000 cuma cukup buat 23 menit? <PROVIDER_NAME> BANGSAT..............<PROVIDER_NAME>…<URL>;nelepon pulsa menit bangsat
64;negative;Signal 4G <PROVIDER_NAME> bekasi kenapa? Gak bisa internetan sama sekali dari tadi subuh;signal bekas internetan subuh
65;negative;<PROVIDER_NAME> tarif Internet Super Kuota naik lagi. Negara lain internet makin murah kok <PROVIDER_NAME> makin mahal? ;tarif internet super kuota negara internet murah mahal
66;negative;JARINGAN <PROVIDER_NAME> tidak ada SINYAL untuk wilayah Sindangkasih - ciamis <PROVIDER_NAME> ;jaring sinyal wilayah sindangkasih ciamis
67;positive;<PROVIDER_NAME> terimakasih <PROVIDER_NAME> akhirnya menang pointastic deal dari <PROVIDER_NAME> #PointasticDeal <PROVIDER_NAME> <URL>;terimakasih menang pointastic deal
68;negative;<PROVIDER_NAME> kalo bukan karena nomer sudah lama, pasti sudah dibuang saja dari dulu. <PROVIDER_NAME>;kalo nomer buang
69;negative;<PROVIDER_NAME> jadi yang dizalimi bukan cuma saya ya? <PROVIDER_NAME> <URL>;zalim
70;positive;mantap ini. #4g #LTE <PROVIDER_NAME> <URL>;mantap
71;negative;Sinyal jelek! Komplain gak direspon! #Boikot<PROVIDER_NAME> <PROVIDER_NAME> <URL>;sinyal jelek komplain direspon
72;negative;Alhamdulillah mulai hari, ini 2 kartu telpon dan 2 kartu internetan kami gak pakai <PROVIDER_NAME> lagi. #Boikot<PROVIDER_NAME>;alhamdulillah kartu telpon kartu internetan pakai
